n	University	Economy	Overall	Teaching	Research	International Diversity	Financial Sustainability
324	Aalborg University	Denmark	48.893	40.635	48.456	66,89	52.517
95	Aarhus University	Denmark	75.718	68.684	79.046	68.529	76.543
313	Aberystwyth University	UK	50.336	32.522	58,38	72.042	54.402
480	Adam Mickiewicz University	Poland	32.192	42.242	22.575	20.756	32.556
256	Agricultural University of Athens	Greece	57.152	64.291	51.879	32.801	57,67
544	Ain Shams University	Egypt	20.883	19.177	20.433	22.921	21.695
445	Al-Farabi Kazakh National University	Kazakhstan	36.713	51.838	21.598	48.111	11.325
327	Aligarh Muslim University	India	48,57	78.143	26.815	9.995	40.301
390	American University	USA	43,21	41.148	39.561	40.627	58,37
398	Ankara University	Turkey	41.474	61.596	23.684	25.052	35.562
233	Arizona State University	USA	60.441	45.737	73.404	46.961	64.594
561	Asia University (Taiwan)	Taiwan	14.658	4.989	18.022	16.346	37.129
555	Astana Medical University	Kazakhstan	17,86	36.279	2,84	10.946	3.897
339	Aston University	UK	47.228	30.386	51.643	79.829	52.016
546	Ateneo of Manila University	Philippines	20.503	29.402	6.506	42.904	11.356
277	Auburn University	USA	54.774	55.629	52.414	29.237	73.074
482	Auckland University of Technology	New Zealand	32.118	32.102	20.396	71.705	30.219
61	Australian National University	Australia	80.075	63.336	84.711	96.049	91,73
225	Autonomous University of Barcelona	Spain	61.095	65.066	54.357	60.806	54.173
284	Autonomous University of Madrid	Spain	54.044	56.617	49.352	53.654	46.584
529	Autonomous University of Mexico State	Mexico	23.392	23.442	20.476	21.988	30,56
247	Aveiro University	Portugal	58.079	54.538	58.596	57.761	53.543
538	Babes-Bolyai University	Romania	21.901	21.437	18.114	26.664	28.836
330	Bangor University	UK	48.305	36.478	51.638	57.339	61.512
491	Belarusian State University	Belarus	30.835	41.634	14.112	43.079	33.709
414	Ben-Gurion University of the Negev	Israel	39.794	31.231	40.355	49,11	53.111
239	Bielefeld University	Germany	59.614	63.877	52.862	59.143	52.087
370	Bilkent University	Turkey	44.593	51.254	32.871	46,24	51.252
221	Birkbeck, University of London	UK	61.546	53.344	62.473	85.718	47.493
540	Birla Institute of Technology & Science, Pilani	India	21.737	22.951	19,78	12,78	28.295
368	Bogazici University	Turkey	44.723	42.082	42.578	47.853	48.621
462	Bond University	Australia	34.716	36.868	18.443	72.153	45.295
278	Boston College	USA	54.641	58.557	45.481	56.583	58.576
16	Boston University	USA	89.648	90.491	91.648	60.859	80.405
226	Brandeis University	USA	61.091	56,56	61.286	47.664	76.613
360	Brunel University	UK	45.792	33.574	45.638	78.728	50.291
509	Ca' Foscari University of Venice	Italy	27.589	23,22	26.015	31.419	41.631
512	Cairo University	Egypt	27.286	26.304	25.984	29.669	26.204
2	California Institute of Technology	USA	99.077	99.778	97.283	77.373	96.708
558	California State University, Long Beach	USA	16,01	10.473	14.592	22.007	35,95
562	Can Tho University	Vietnam	13.631	12.504	8.583	24.405	25.209
192	Cardiff University	UK	65,05	54.891	67.522	74.442	68.669
32	Carnegie Mellon University	USA	84.646	80.338	84.527	73.086	90,76
105	Chalmers University of Technology	Sweden	74.818	69.972	76.139	65.296	77.694
402	Chang Gung University	Taiwan	41.017	38.422	39.751	8.015	83.198
342	Charles Darwin University	Australia	47,13	29.592	55.504	46.211	75.308
451	Charles III University of Madrid	Spain	35.704	44.396	23.757	39.857	34.057
245	Charles University in Prague	Czech Republic	58.417	76.955	36.683	63.078	48.272
236	Chiba University	Japan	59.924	63.625	58.405	29.711	64.895
302	China Agricultural University	China	51.818	65.507	42.087	16.196	57.209
458	China Medical University (Taiwan)	Taiwan	35.175	20.972	42.208	18.743	75,76
473	Chonbuk National University	Republic of Korea	33.316	37,83	24.932	23.471	51.361
411	Chulalongkorn University	Thailand	40.049	51,62	25.589	39.031	41.129
