Número de experimentos, Número de universidades, Número de factores a evaluar, Aciertos en el primero(%), Desviación Típica Aciertos con el primero, Aciertos(%), Desviación Típica Aciertos, Falsos positivos(%), Desviación Típica Falsos positivos, Falsos negativos(%), Desviación Típica Falsos negativos,Mayor desplazamiento promedio,Desviación Típica Mayor desplazamiento promedio,Máximo desplazamiento,Máximo desplazamiento porcentual
1,2,2,100,0,100,7.0710678119,0,0,0,0,50,3.5355339059,50,(2500.0%)
1,3,2,100,0,33.3333333333,3.8490017946,33.3333333333,3.8490017946,33.3333333333,3.8490017946,0,0,0,(0.0%)
1,4,2,100,0,100,15,0,0,0,0,0,0,0,(0.0%)
1,5,2,100,0,100,17.88854382,0,0,0,0,20,3.577708764,20,(400.0%)
1,6,2,100,0,50,10.2062072616,33.3333333333,6.8041381744,16.6666666667,3.4020690872,0,0,0,(0.0%)
1,7,2,100,0,100,22.6778683806,0,0,0,0,14.2857142857,3.2396954829,14.2857142857,(204.0816326530612%)
1,8,2,100,0,100,24.7487373415,0,0,0,0,37.5,9.2807765031,37.5,(468.75%)
1,9,2,100,0,77.7777777778,20.7407407407,11.1111111111,2.962962963,11.1111111111,2.962962963,22.2222222222,5.9259259259,22.2222222222,(246.91358024691357%)
1,10,2,100,0,50,14.2302494708,10,2.8460498942,40,11.3841995766,0,0,0,(0.0%)
1,11,2,100,0,81.8181818182,24.6691100109,9.0909090909,2.7410122234,9.0909090909,2.7410122234,9.0909090909,2.7410122234,9.0909090909,(82.64462809917356%)
1,12,2,100,0,83.3333333333,26.4618873379,8.3333333333,2.6461887338,8.3333333333,2.6461887338,25,7.9385662014,25,(208.33333333333334%)
1,13,2,100,0,69.2307692308,23.0413927663,15.3846153846,5.1203095036,15.3846153846,5.1203095036,7.6923076923,2.5601547518,7.6923076923,(59.1715976331361%)
1,14,2,100,0,78.5714285714,27.2988268525,14.2857142857,4.9634230641,7.1428571429,2.481711532,28.5714285714,9.9268461282,28.5714285714,(204.0816326530612%)
1,15,2,100,0,86.6666666667,31.328131956,6.6666666667,2.4098563043,6.6666666667,2.4098563043,53.3333333333,19.2788504345,53.3333333333,(355.5555555555556%)
1,16,2,100,0,81.25,30.46875,6.25,2.34375,12.5,4.6875,62.5,23.4375,62.5,(390.625%)
1,17,2,100,0,88.2352941176,34.2403235345,5.8823529412,2.2826882356,5.8823529412,2.2826882356,5.8823529412,2.2826882356,5.8823529412,(34.60207612456747%)
1,18,2,100,0,66.6666666667,26.7129228448,16.6666666667,6.6782307112,16.6666666667,6.6782307112,33.3333333333,13.3564614224,33.3333333333,(185.18518518518516%)
1,19,2,100,0,78.9473684211,32.6011832342,10.5263157895,4.3468244312,10.5263157895,4.3468244312,5.2631578947,2.1734122156,5.2631578947,(27.700831024930746%)
1,20,2,100,0,90,38.2367624152,5,2.1242645786,5,2.1242645786,35,14.8698520504,35,(175.0%)
1,21,2,100,0,90.4761904762,39.4870468046,4.7619047619,2.0782656213,4.7619047619,2.0782656213,38.0952380952,16.6261249704,38.0952380952,(181.40589569160997%)
1,22,2,100,0,77.2727272727,34.5966616995,9.0909090909,4.0701954941,13.6363636364,6.1052932411,45.4545454545,20.3509774703,45.4545454545,(206.61157024793386%)
1,23,2,100,0,100,45.8731710926,0,0,0,0,30.4347826087,13.9613998977,30.4347826087,(132.32514177693764%)
1,24,2,100,0,79.1666666667,37.1676047776,8.3333333333,3.9123794503,12.5,5.8685691754,8.3333333333,3.9123794503,8.3333333333,(34.72222222222222%)
1,25,2,100,0,84,40.32,8,3.84,8,3.84,16,7.68,16,(64.0%)
1,26,2,100,0,100,49.0290337845,0,0,0,0,34.6153846154,16.9715886177,34.6153846154,(133.1360946745562%)
1,27,2,100,0,81.4814814815,40.7709078983,7.4074074074,3.7064461726,11.1111111111,5.5596692589,48.1481481481,24.0919001217,48.1481481481,(178.32647462277092%)
1,28,2,100,0,85.7142857143,43.7358890196,10.7142857143,5.4669861275,3.5714285714,1.8223287092,14.2857142857,7.2893148366,14.2857142857,(51.0204081632653%)
1,29,2,100,0,82.7586206897,43.0300921569,6.8965517241,3.5858410131,10.3448275862,5.3787615196,6.8965517241,3.5858410131,6.8965517241,(23.78121284185493%)
1,30,2,100,0,83.3333333333,44.1220949101,6.6666666667,3.5297675928,10,5.2946513892,23.3333333333,12.3541865748,23.3333333333,(77.77777777777777%)
1,31,2,100,0,64.5161290323,34.7623165213,6.4516129032,3.4762316521,29.0322580645,15.6430424346,16.1290322581,8.6905791303,16.1290322581,(52.02913631633715%)
1,32,2,100,0,90.625,49.6632028349,6.25,3.4250484714,3.125,1.7125242357,28.125,15.4127181212,28.125,(87.890625%)
1,33,2,100,0,93.9393939394,52.3287983964,3.0303030303,1.6880257547,3.0303030303,1.6880257547,21.2121212121,11.8161802831,21.2121212121,(64.2791551882461%)
1,34,2,100,0,67.6470588235,38.284537095,8.8235294118,4.9936352733,23.5294117647,13.3163607287,5.8823529412,3.3290901822,5.8823529412,(17.301038062283734%)
1,35,2,100,0,48.5714285714,27.9142376705,11.4285714286,6.5680559225,40,22.9881957286,14.2857142857,8.2100699031,14.2857142857,(40.816326530612244%)
1,36,2,100,0,100,58.3333333333,0,0,0,0,30.5555555556,17.8240740741,30.5555555556,(84.87654320987654%)
1,37,2,100,0,67.5675675676,39.9889428581,10.8108108108,6.3982308573,21.6216216216,12.7964617146,27.027027027,15.9955771432,27.027027027,(73.04601899196494%)
1,38,2,100,0,71.0526315789,42.6471578183,7.8947368421,4.7385730909,21.0526315789,12.6361949091,5.2631578947,3.1590487273,5.2631578947,(13.850415512465373%)
1,39,2,100,0,94.8717948718,57.7282523718,2.5641025641,1.5602230371,2.5641025641,1.5602230371,12.8205128205,7.8011151854,12.8205128205,(32.87310979618672%)
1,40,2,100,0,77.5,47.7899211393,7.5,4.624831078,15,9.249662156,30,18.499324312,30,(75.0%)
1,41,2,100,0,73.1707317073,45.7093937235,4.8780487805,3.0472929149,21.9512195122,13.712818117,31.7073170732,19.8074039468,31.7073170732,(77.33491969066031%)
1,42,2,100,0,100,63.2643734845,0,0,0,0,28.5714285714,18.0755352813,28.5714285714,(68.02721088435374%)
